timestampIso,timestampJs,heapTotal (MB),heapUsed (MB),external (MB),arrayBuffers (MB),rss (MB)
2024-08-17T01:26:29.259Z,1723857989259,47.325184,44.52288,4.059894,0.19404,112.852992
2024-08-17T01:27:29.260Z,1723858049260,48.898048,45.803488,4.119945,0.249373,119.472128
2024-08-17T01:28:29.260Z,1723858109260,50.733056,47.687296,4.230273,0.305597,121.290752
2024-08-17T01:29:29.261Z,1723858169261,52.043776,49.55988,4.219094,0.372793,124.145664
2024-08-17T01:30:29.261Z,1723858229261,53.61664,50.96664,4.26802,0.431412,125.263872
2024-08-17T01:31:29.262Z,1723858289262,54.403072,44.481384,4.092804,0.22233,126.189568
2024-08-17T01:32:29.262Z,1723858349262,54.403072,45.905016,4.173759,0.280977,126.234624
2024-08-17T01:33:29.262Z,1723858409262,54.403072,46.953128,4.192101,0.332829,126.058496
2024-08-17T01:34:29.264Z,1723858469264,54.403072,49.014744,4.295298,0.40242,127.045632
2024-08-17T01:35:29.265Z,1723858529265,54.403072,50.43252,4.330984,0.458567,127.451136
2024-08-17T01:36:29.266Z,1723858589266,54.403072,43.808328,4.446887,0.199217,127.410176
2024-08-17T01:37:29.266Z,1723858649266,54.403072,45.468528,4.142464,0.270422,127.361024
2024-08-17T01:38:29.266Z,1723858709266,54.665216,47.527824,4.234737,0.324553,128.036864
2024-08-17T01:39:29.267Z,1723858769267,54.665216,48.577056,4.232571,0.396421,127.807488
2024-08-17T01:40:29.266Z,1723858829266,54.665216,49.894248,4.315364,0.443823,127.799296
2024-08-17T01:41:29.267Z,1723858889267,54.665216,51.3316,4.352554,0.500352,128.114688
2024-08-17T01:42:29.269Z,1723858949269,54.92736,44.63768,4.061446,0.225869,127.995904
2024-08-17T01:43:29.269Z,1723859009269,54.92736,46.759272,4.126079,0.286919,128.688128
2024-08-17T01:44:29.269Z,1723859069269,54.92736,47.356992,4.173473,0.329245,128.04096
2024-08-17T01:45:29.270Z,1723859129270,54.92736,48.725488,4.243598,0.377645,128.1024
2024-08-17T01:46:29.273Z,1723859189273,54.92736,50.700208,4.306618,0.430382,128.925696
2024-08-17T01:47:29.273Z,1723859249273,55.189504,51.73132,4.397688,0.480784,128.106496
2024-08-17T01:48:29.273Z,1723859309273,55.451648,45.489296,4.094654,0.240317,129.028096
2024-08-17T01:49:29.275Z,1723859369275,55.451648,46.61528,4.157333,0.295679,128.618496
2024-08-17T01:50:29.274Z,1723859429274,55.451648,47.29644,4.156057,0.322637,128.139264
2024-08-17T01:51:29.274Z,1723859489274,55.451648,49.077264,4.220959,0.378628,128.884736
2024-08-17T01:52:29.275Z,1723859549275,55.451648,50.15068,4.269419,0.426573,128.53248
2024-08-17T01:53:29.277Z,1723859609277,55.451648,51.233752,4.398177,0.473868,128.753664
2024-08-17T01:54:29.278Z,1723859669278,55.451648,44.853944,4.370489,0.209901,129.400832
2024-08-17T01:55:29.280Z,1723859729280,55.451648,46.208296,4.101743,0.256543,129.150976
2024-08-17T01:56:29.282Z,1723859789282,55.451648,47.041224,4.196506,0.292458,128.856064
2024-08-17T01:57:29.283Z,1723859849283,55.451648,48.223832,4.203881,0.348761,128.978944
2024-08-17T01:58:29.285Z,1723859909285,55.451648,49.867,4.354468,0.398646,129.380352
2024-08-17T01:59:29.285Z,1723859969285,55.451648,50.4888,4.475239,0.437884,129.073152
2024-08-17T02:00:29.285Z,1723860029285,55.451648,51.536648,4.328728,0.49403,129.912832
2024-08-17T02:01:29.286Z,1723860089286,55.451648,45.01192,4.060371,0.216788,130.072576
2024-08-17T02:02:29.285Z,1723860149285,55.451648,46.613128,4.111603,0.26737,130.408448
2024-08-17T02:03:29.285Z,1723860209285,55.451648,47.254496,4.184571,0.30191,129.814528
2024-08-17T02:04:29.286Z,1723860269286,55.451648,48.285024,4.196377,0.350129,129.998848
2024-08-17T02:05:29.287Z,1723860329287,55.713792,49.82652,4.28729,0.398281,130.199552
2024-08-17T02:06:29.287Z,1723860389287,55.713792,50.453912,4.297593,0.432949,129.974272
